LeetcodeId,Title,Acceptance,Difficulty,Frequency,Topic,Company
1,Two Sum    ,0.427,Easy,10,HashTable|Array,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|yahoo|alibaba|airbnb|baidu|snapchat|twitter|goldman-sachs|oracle|ebay|tencent|yelp|vmware|walmart-labs|salesforce|lyft|expedia|cisco|zenefits|paypal|pinterest|zillow|pocket-gems|intuit|mathworks|two-sigma|indeed|nvidia|works-applications|hulu|visa|samsung|netease|sap|dropbox|aetion|quora|yandex|coursera|godaddy|huawei|ixl|capital-one|intel|affirm|ibm|servicenow|tripadvisor|citrix|tableau|box|epic-systems|grab|morgan-stanley|twilio|wish|appdynamics|riot-games|bookingcom|groupon|redfin|zappos|zynga|blackrock|Alation|netflix|Drawbridge|Gilt Groupe|HTC|MAQ Software|Symantec|Deutsche Bank|Blizzard|Fallible|Helix|Jane Street|Jump Trading|Lending Club|Radius|valve|Sina
2,Add Two Numbers    ,0.308,Medium,10,Math|Linked List,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|yahoo|alibaba|airbnb|baidu|twitter|goldman-sachs|oracle|tencent|yelp|vmware|walmart-labs|salesforce|lyft|cisco|zenefits|mathworks|nvidia|works-applications|samsung|netease|sap|dropbox|aetion|quora|yandex|godaddy|capital-one|intel|affirm|ibm|tableau|box|grab|appdynamics|riot-games|redfin|zappos|zynga|Flipkart|Gilt Groupe|HTC|MAQ Software|EMC
146,LRU Cache    ,0.245,Hard,10,Design,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|yahoo|alibaba|baidu|snapchat|twitter|goldman-sachs|oracle|ebay|yelp|vmware|walmart-labs|salesforce|lyft|cisco|zenefits|paypal|pinterest|zillow|intuit|two-sigma|nvidia|palantir-technologies|hulu|visa|sap|dropbox|quora|yandex|godaddy|jpmorgan|affirm|houzz|citadel|grab|twilio|wish|netflix
200,Number of Islands    ,0.407,Medium,10,Depth First|breadth-first-search|Union Find,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|yahoo|alibaba|snapchat|twitter|goldman-sachs|oracle|ebay|yelp|walmart-labs|lyft|expedia|cisco|zenefits|paypal|pinterest|zillow|pocket-gems|mathworks|two-sigma|nutanix|nvidia|palantir-technologies|works-applications|hulu|visa|coursera|qualtrics|intel|affirm|houzz|citrix|appdynamics|doordash
4,Median of Two Sorted Arrays    ,0.258,Hard,10,Binary Search|Array|Divide and Conquer,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|yahoo|alibaba|airbnb|baidu|snapchat|twitter|goldman-sachs|ebay|tencent|vmware|walmart-labs|lyft|zenefits|pinterest|zillow|pocket-gems|two-sigma|nutanix|works-applications|hulu|netease|dropbox|aetion|rubrik|cloudera|zappos|zynga
42,Trapping Rain Water    ,0.423,Hard,10,Two Pointers|Array|Stack,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|alibaba|airbnb|baidu|snapchat|twitter|goldman-sachs|oracle|ebay|tencent|salesforce|lyft|zenefits|intuit|nvidia|palantir-technologies|huawei|qualtrics|intel|grab|wish|Dataminr
929,Unique Email Addresses    ,0.748,Easy,10,String,google|amazon|adobe|apple
904,Fruit Into Baskets    ,0.41,Medium,10,Two Pointers,google|amazon
5,Longest Palindromic Substring    ,0.268,Medium,10,Dynamic Programming|String,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|yahoo|alibaba|airbnb|baidu|twitter|oracle|ebay|tencent|yelp|vmware|walmart-labs|salesforce|lyft|expedia|cisco|zenefits|paypal|works-applications|netease|yandex|godaddy|huawei|jpmorgan|qualtrics|ibm|pure storage|sumologic|Roblox|Goo
3,Longest Substring Without Repeating Characters    ,0.281,Medium,10,HashTable|Two Pointers|String|Sliding Window,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|yahoo|alibaba|airbnb|baidu|snapchat|goldman-sachs|oracle|ebay|tencent|yelp|vmware|walmart-labs|expedia|cisco|paypal|pinterest|works-applications|hulu|aetion|yandex|huawei|ixl|epic-systems|grab|riot-games|bookingcom|zynga|blackrock|Alation|Pure
15,3Sum    ,0.236,Medium,10,Two Pointers|Array,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|yahoo|alibaba|airbnb|baidu|snapchat|goldman-sachs|ebay|tencent|yelp|vmware|walmart-labs|salesforce|expedia|paypal|zillow|intuit|indeed|works-applications|visa|aetion|quora|square|yandex|coursera|qualtrics|akuna capital|box|GE Digital
138,Copy List with Random Pointer    ,0.261,Medium,10,HashTable|Linked List,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|yahoo|alibaba|airbnb|baidu|goldman-sachs|ebay|yelp|vmware|expedia|cisco|mathworks|visa|qualtrics|capital-one
20,Valid Parentheses    ,0.361,Easy,10,String|Stack,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|yahoo|alibaba|airbnb|baidu|twitter|goldman-sachs|oracle|ebay|tencent|yelp|vmware|walmart-labs|lyft|expedia|cisco|zenefits|paypal|zillow|mathworks|indeed|visa|samsung|sap|aetion|yandex|godaddy|huawei|jpmorgan|capital-one|rubrik|akuna capital|pure storage|servicenow|tripadvisor|twilio|riot-games|bookingcom|cloudera|qualcomm|zappos|zynga|TripleByte|Gilt Groupe|Blizzard|Lending Club|Yatra
56,Merge Intervals    ,0.351,Medium,10,Array|Sort,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|yahoo|snapchat|twitter|goldman-sachs|oracle|ebay|yelp|walmart-labs|salesforce|cisco|zenefits|paypal|pinterest|intuit|nvidia|palantir-technologies|sap|godaddy|servicenow|grab|wish|netflix|Dataminr
